Xd;Yd;Xu;Yu
343.8977;49.8091;22.0000;23.0000
372.0472;48.0178;23.0000;23.0000
400.4882;46.3458;24.0000;23.0000
429.1681;44.7727;25.0000;23.0000
457.5214;43.0896;26.0000;23.0000
485.8824;41.4926;27.0000;23.0000
514.9476;39.9387;28.0000;23.0000
543.6088;38.3784;29.0000;23.0000
572.6250;36.6894;30.0000;23.0000
601.5368;35.1305;31.0000;23.0000
630.7076;33.6294;32.0000;23.0000
659.6305;32.3334;33.0000;23.0000
689.1840;31.0510;34.0000;23.0000
717.9808;29.7153;35.0000;23.0000
747.5004;28.4968;36.0000;23.0000
777.0919;27.3905;37.0000;23.0000
806.1157;26.3388;38.0000;23.0000
835.6721;25.3621;39.0000;23.0000
865.3855;24.3824;40.0000;23.0000
894.9889;23.4636;41.0000;23.0000
1832.7102;22.5600;73.0000;23.0000
1860.7697;23.7852;74.0000;23.0000
1889.1488;24.6455;75.0000;23.0000
1916.9224;25.5637;76.0000;23.0000
1944.8803;26.5961;77.0000;23.0000
1972.6117;27.6309;78.0000;23.0000
2000.3631;28.6271;79.0000;23.0000
2027.8038;29.7447;80.0000;23.0000
2054.8960;30.9129;81.0000;23.0000
2082.3287;32.1350;82.0000;23.0000
2109.2106;33.4818;83.0000;23.0000
2136.0584;34.8115;84.0000;23.0000
315.2141;79.2026;21.0000;24.0000
343.3574;77.2871;22.0000;24.0000
371.5089;75.7246;23.0000;24.0000
399.6958;74.0293;24.0000;24.0000
428.3210;72.4101;25.0000;24.0000
457.0988;70.8732;26.0000;24.0000
485.5517;69.4456;27.0000;24.0000
514.1962;67.9647;28.0000;24.0000
543.2719;66.1648;29.0000;24.0000
571.8599;64.5983;30.0000;24.0000
601.2920;63.1647;31.0000;24.0000
630.0432;61.7911;32.0000;24.0000
659.5123;60.3246;33.0000;24.0000
688.7473;58.9882;34.0000;24.0000
717.7083;57.6915;35.0000;24.0000
747.3792;56.4559;36.0000;24.0000
776.9920;55.2861;37.0000;24.0000
805.9991;54.1937;38.0000;24.0000
835.6078;53.1836;39.0000;24.0000
865.3714;52.2768;40.0000;24.0000
894.9901;51.4221;41.0000;24.0000
924.5033;50.6748;42.0000;24.0000
954.1045;49.9472;43.0000;24.0000
983.7338;49.2121;44.0000;24.0000
1013.5088;48.3605;45.0000;24.0000
1043.2786;47.5126;46.0000;24.0000
1072.8132;46.8570;47.0000;24.0000
1102.5232;46.5117;48.0000;24.0000
1132.4664;46.0766;49.0000;24.0000
1162.1818;45.5887;50.0000;24.0000
1192.3020;45.3045;51.0000;24.0000
1221.5440;45.0651;52.0000;24.0000
1250.9852;44.7356;53.0000;24.0000
1280.6722;44.5553;54.0000;24.0000
1310.5634;44.4904;55.0000;24.0000
1340.2345;44.3804;56.0000;24.0000
1369.9215;44.3252;57.0000;24.0000
1399.1337;44.2920;58.0000;24.0000
1428.5528;44.2569;59.0000;24.0000
1457.9778;44.3323;60.0000;24.0000
1487.3179;44.4906;61.0000;24.0000
1516.7210;44.8078;62.0000;24.0000
1546.3238;45.2473;63.0000;24.0000
1575.2269;45.5595;64.0000;24.0000
1604.4185;45.8387;65.0000;24.0000
1633.3777;46.1815;66.0000;24.0000
1662.4330;46.4983;67.0000;24.0000
1691.3377;46.9094;68.0000;24.0000
1720.2844;47.5991;69.0000;24.0000
1748.9216;48.3218;70.0000;24.0000
1777.0900;48.9210;71.0000;24.0000
1805.5471;49.6553;72.0000;24.0000
1834.3929;50.4016;73.0000;24.0000
1862.4548;51.1642;74.0000;24.0000
1890.5904;52.0506;75.0000;24.0000
1918.6864;52.7711;76.0000;24.0000
1946.5592;53.9522;77.0000;24.0000
1974.4251;54.9088;78.0000;24.0000
2002.2034;55.8866;79.0000;24.0000
2029.6239;56.8720;80.0000;24.0000
2056.9774;58.0055;81.0000;24.0000
2084.1530;59.2272;82.0000;24.0000
2111.3728;60.5216;83.0000;24.0000
2138.0641;61.8658;84.0000;24.0000
2165.0022;63.3995;85.0000;24.0000
286.2788;108.9064;20.0000;25.0000
314.1691;106.9507;21.0000;25.0000
342.4516;105.2341;22.0000;25.0000
370.8725;103.5701;23.0000;25.0000
399.1289;101.9643;24.0000;25.0000
427.6150;100.4076;25.0000;25.0000
456.3030;98.7528;26.0000;25.0000
485.1328;97.2308;27.0000;25.0000
513.8249;95.7894;28.0000;25.0000
542.7985;94.2823;29.0000;25.0000
571.6261;92.6931;30.0000;25.0000
600.8892;91.0621;31.0000;25.0000
629.6807;89.5653;32.0000;25.0000
659.3759;88.3281;33.0000;25.0000
688.3137;87.0846;34.0000;25.0000
717.5902;85.8041;35.0000;25.0000
747.3157;84.5818;36.0000;25.0000
776.6270;83.4997;37.0000;25.0000
805.7522;82.4308;38.0000;25.0000
835.5627;81.4221;39.0000;25.0000
865.3740;80.4340;40.0000;25.0000
895.0336;79.4752;41.0000;25.0000
924.5217;78.5667;42.0000;25.0000
954.1616;77.7121;43.0000;25.0000
983.9829;76.9355;44.0000;25.0000
1013.6179;76.4075;45.0000;25.0000
1043.5148;75.9809;46.0000;25.0000
1073.3715;75.3404;47.0000;25.0000
1102.6737;74.5084;48.0000;25.0000
1132.8534;73.8760;49.0000;25.0000
1162.5048;73.6139;50.0000;25.0000
1192.4834;73.3868;51.0000;25.0000
1222.2990;73.0577;52.0000;25.0000
1251.8187;72.7184;53.0000;25.0000
1281.5181;72.4779;54.0000;25.0000
1311.3708;72.3700;55.0000;25.0000
1340.7108;72.2602;56.0000;25.0000
1370.5087;72.1608;57.0000;25.0000
1400.2254;72.1473;58.0000;25.0000
1429.4612;72.1962;59.0000;25.0000
1458.8041;72.2893;60.0000;25.0000
1488.3998;72.5078;61.0000;25.0000
1517.8959;72.7685;62.0000;25.0000
1547.1751;73.0381;63.0000;25.0000
1576.3658;73.3606;64.0000;25.0000
1605.4634;73.6256;65.0000;25.0000
1634.5201;73.9010;66.0000;25.0000
1663.5095;74.4562;67.0000;25.0000
1692.4907;75.0638;68.0000;25.0000
1721.3800;75.5459;69.0000;25.0000
1750.2180;75.9773;70.0000;25.0000
1778.6901;76.5460;71.0000;25.0000
1807.0214;77.4177;72.0000;25.0000
1835.5942;78.2870;73.0000;25.0000
1864.2054;78.5202;74.0000;25.0000
1892.2083;79.6147;75.0000;25.0000
1920.3584;80.5105;76.0000;25.0000
1948.3200;81.3944;77.0000;25.0000
1976.2688;82.3745;78.0000;25.0000
2003.9426;83.2853;79.0000;25.0000
2031.4798;84.3070;80.0000;25.0000
2058.7425;85.4317;81.0000;25.0000
2086.1397;86.5951;82.0000;25.0000
2113.1315;87.7938;83.0000;25.0000
2140.1550;89.0485;84.0000;25.0000
2166.7970;90.5229;85.0000;25.0000
2193.4701;92.0049;86.0000;25.0000
257.5950;138.4177;19.0000;26.0000
285.5595;136.5322;20.0000;26.0000
313.5641;134.8147;21.0000;26.0000
341.6574;133.1090;22.0000;26.0000
370.1707;131.4738;23.0000;26.0000
